,step,reward,actor_loss,critic_loss,max_q1,min_q1,q1,eval_time,eval_step,time
0,0,66.69516998146847,,,,,,,,
1,10000,66.63394088006976,,,,,,,,
2,20000,66.67686129321547,,,,,,,,
3,30000,66.18487229240148,-41.847996,7.893564,57.114437,-4.3307614,41.780144,0.0706329345703125,14.0,0.35260882377624514
4,40000,309.02678956474904,-130.92969,68.955376,199.37495,-14.292034,121.16795,0.37612295150756836,56.3,0.6000320672988891
5,50000,318.07049301373297,-150.5944,51.560326,256.6069,0.3776464,141.94598,0.3463456630706787,57.3,0.8476785103480021
6,60000,190.81286209134745,-143.2424,55.669342,232.54353,-9.040287,138.64914,0.24234294891357422,40.2,1.0944853146870932
7,70000,83.35485211395432,-132.97836,87.08136,272.6845,-6.5502877,124.966896,0.07446002960205078,17.1,1.3122336904207865
8,80000,310.9152616071825,-166.36469,148.51639,283.14038,-10.872886,152.74893,0.3149230480194092,62.4,1.5345120112101236
9,90000,301.9840261550882,-149.03336,103.98276,297.3918,-17.303589,140.10254,0.2860109806060791,61.7,1.7522595167160033
10,100000,310.5681625728959,-129.26637,92.047615,280.11615,-17.78866,120.732994,0.3005654811859131,63.8,1.9689486344655356
11,110000,395.0025164669038,-121.535095,49.325996,262.27106,2.644629,114.19238,0.37100768089294434,78.4,2.187888733545939
12,120000,413.3221231138932,-129.75838,55.023514,251.2068,1.7456931,123.20087,0.42795419692993164,82.0,2.412127717336019
13,130000,400.567507253282,-128.22942,50.278522,250.75269,-5.4444017,121.82754,0.4306604862213135,82.3,2.6386600693066913
14,140000,467.5326317468315,-139.45576,51.294586,257.47617,2.4477692,133.42174,0.5043418407440186,95.8,2.865705899397532
15,150000,436.76312597646177,-138.12173,51.91374,265.77747,-0.27833283,131.60666,0.4659576416015625,94.3,3.096066923936208
16,160000,548.9799726416347,-142.16818,56.16243,268.052,2.9807422,135.74496,0.5157272815704346,105.2,3.3230236609776815
17,170000,549.6876268663628,-148.55664,49.7934,276.18948,-1.5494536,142.76038,0.5741705894470215,112.9,3.5555203994115194
18,180000,562.4316674433874,-145.18135,48.101444,276.53784,-0.43508825,139.73228,0.5597717761993408,109.7,3.7845895926157636
19,190000,554.4640250351374,-152.43813,50.03022,278.12515,-1.2845533,146.74014,0.5537014007568359,109.2,4.012429487705231
20,200000,630.518941769444,-148.07452,48.176117,280.9101,0.49855855,142.07318,0.6045527458190918,122.6,4.241656764348348
21,210000,567.6423248484551,-151.91087,58.54618,275.29248,-7.326122,147.8234,0.5880851745605469,116.6,4.469658454259236
22,220000,621.944816644816,-153.78159,52.799603,280.1473,0.19910407,148.97737,0.6026968955993652,119.3,4.701710589726766
23,230000,741.7298889271016,-155.33385,51.934,284.9174,5.775465,149.93892,0.7975189685821533,152.7,4.934708599249522
24,240000,718.8343644757458,-153.69836,47.152393,287.50702,1.5099808,149.09645,0.6797206401824951,143.5,5.164524400234223
25,250000,586.3725259745031,-154.33815,56.396603,291.6858,1.0035796,149.0206,0.7378394603729248,113.7,5.3956697344779965
26,260000,761.8663752049648,-169.55267,47.96556,301.40018,8.450841,163.58316,0.7558658123016357,156.3,5.62754416068395
27,270000,670.5643554270498,-156.68651,50.591515,303.22745,0.47399968,151.86284,0.6312658786773682,129.7,5.859467554092407
28,280000,898.2585282105892,-167.32419,54.085945,301.07205,-2.9058187,161.84534,0.9125974178314209,181.4,6.096436099211375
29,290000,879.3563686419159,-168.74728,60.156345,312.12103,-0.14542997,163.757,0.8804216384887695,172.9,6.334176083405812
30,300000,903.3761908647533,-178.56775,49.870945,319.01944,0.28551576,173.75902,0.8795711994171143,175.0,6.5731344024340315
31,310000,1034.2676348416817,-188.50623,60.984417,326.7693,-3.2993243,183.52995,0.9963669776916504,205.7,6.816821960608165
32,320000,2123.455137947437,-189.1069,77.55719,331.41855,1.8560951,184.52814,1.9782371520996094,419.5,7.068837662537892
33,330000,1375.1043864516582,-181.37991,58.7445,337.81552,1.1059021,176.95554,1.3731703758239746,271.5,7.314975909392039
34,340000,1682.0038830371145,-194.9385,70.17822,340.23807,4.7119703,189.87631,1.648484230041504,329.7,7.565272144476572
35,350000,1523.190721125598,-193.97876,63.720215,347.97623,-1.7016709,188.38152,1.4957919120788574,297.5,7.808455483118693
36,360000,2191.126700432006,-197.09079,62.6511,352.5816,-0.80396324,191.45737,2.0931529998779297,435.0,8.063754455248516
37,370000,2148.566337839093,-199.01024,68.288765,357.89005,5.534359,193.00104,2.2941558361053467,423.3,8.319971652825673
38,380000,2173.8963939748764,-216.47647,66.24753,363.97696,0.5516825,209.63864,2.0615267753601074,433.7,8.573397370179494
39,390000,4341.2245428693495,-222.09988,76.61432,373.09564,-2.1906548,216.03522,4.046165704727173,858.0,8.85646991332372
40,400000,3117.1775193653693,-230.8938,69.6553,380.45203,-3.835277,225.06503,3.01383113861084,613.3,9.123504849274953
41,410000,4715.157429983896,-241.82257,87.73347,388.71634,10.223787,234.86859,4.39451265335083,928.0,9.416885650157928
42,420000,3623.4768848983267,-244.31546,98.195274,390.65448,7.003917,238.41351,3.5447113513946533,708.6,9.692288490136464
43,430000,2304.294808364656,-248.06107,98.97794,399.5289,-6.83372,241.35112,2.2129147052764893,448.9,9.944445697466533
44,440000,3773.970896256561,-266.0636,94.30113,402.68628,-0.3956163,259.49744,3.460735321044922,732.1,10.217305938402811
45,450000,4411.7704377093305,-266.2052,84.5885,408.29523,-2.8419356,259.28064,4.188668966293335,858.6,10.504953002929687
46,460000,4252.778086915324,-270.52032,93.16635,413.01224,-8.218531,264.37302,3.9926602840423584,840.1,10.788201904296875
47,470000,4494.23333605442,-268.18866,139.41702,417.84274,0.22744393,261.17975,4.115914583206177,885.4,11.073684938748677
48,480000,4040.1023947340464,-278.72592,110.0884,421.21298,0.43499565,271.90778,3.80987811088562,802.4,11.351170945167542
49,490000,4858.600466941001,-276.5918,118.36058,424.0472,-1.1237278,268.68323,4.703298091888428,972.3,11.646486437320709
50,500000,4403.212645981805,-281.63483,105.21959,429.3438,2.5129635,275.45828,4.35941219329834,868.4,11.936564739545187
51,510000,4366.5923563819915,-306.14258,107.694244,434.8601,19.344378,300.0301,4.012101888656616,842.0,12.218763073285421
52,520000,4090.336892308769,-294.10443,98.027855,431.3667,1.2285151,285.20303,3.965768575668335,811.1,12.50237689812978
53,530000,4324.192625835454,-291.23315,101.509674,435.92175,7.5717745,284.305,4.319725513458252,875.8,12.795111417770386
54,540000,4714.199382749799,-306.14243,120.43767,438.59116,-16.082567,298.32123,5.298206090927124,944.4,13.100033120314281
55,550000,4191.056192231251,-306.87695,116.61456,440.20145,-8.097992,301.8418,4.304226875305176,852.0,13.391540777683257
56,560000,4161.916329771313,-304.05954,100.19443,444.98492,3.0253778,297.47678,4.013898611068726,830.7,13.675352243582408
57,570000,4782.0717221372315,-285.52707,137.85379,445.35696,-9.792321,278.45972,4.473214864730835,928.7,13.966470122337341
58,580000,5082.840843726126,-335.21017,120.35365,449.3224,16.705746,327.98422,4.891143321990967,1000.0,14.270985722541809
59,590000,4862.389867573056,-333.13507,115.25892,447.66058,0.4056396,326.57053,4.636878967285156,944.8,14.564311357339223
60,600000,4515.335048639847,-321.7672,99.89603,450.39197,-5.2174397,315.28113,4.353559970855713,893.9,14.855322190125783
61,610000,5165.631023733654,-332.575,102.93254,454.54773,-5.866335,326.4604,4.805335283279419,1000.0,15.153076279163361
62,620000,5059.683896241629,-341.5932,100.95564,457.0048,-5.2616916,336.55408,4.992685556411743,1000.0,15.455959212779998
63,630000,5062.9477548405575,-326.22656,95.13016,454.94928,3.2341745,321.029,4.929499626159668,1000.0,15.753465072313945
64,640000,4990.438643648569,-339.1584,90.53804,456.61337,-13.182938,333.35153,4.750838041305542,971.8,16.052716823418937
65,650000,5094.530679297634,-346.63232,104.966194,460.494,-3.8959494,340.26837,4.9057207107543945,1000.0,16.355976152420045
66,660000,5087.7038756496795,-347.71912,105.5885,461.62244,-0.14833117,341.82632,4.744019269943237,1000.0,16.658786284923554
67,670000,5017.886935720334,-346.01883,89.96924,461.72232,-13.040345,338.57697,5.044455528259277,1000.0,16.96500988403956
68,680000,5016.882584253516,-350.63937,122.301315,461.20532,11.547559,343.8733,4.91815185546875,1000.0,17.267511196931203
69,690000,5091.93912799051,-333.19196,130.95758,461.36752,-5.262369,326.61407,4.793469190597534,1000.0,17.56784253915151
70,700000,5122.752254409357,-373.49078,93.52898,463.4716,-1.2988096,368.52368,5.057716608047485,1000.0,17.870079282919566
71,710000,5165.774442557291,-357.3554,115.90808,463.55884,-6.3036366,351.1197,4.972305774688721,1000.0,18.173761137326558
72,720000,4519.49100223241,-359.01596,97.37458,463.82648,-12.896264,352.90643,4.472753524780273,890.0,18.47266363700231
73,730000,5115.646548701181,-356.87714,94.29724,463.5328,-7.2314854,350.08856,5.022050142288208,1000.0,18.78059139649073
74,740000,3957.4089293292773,-353.35242,132.84674,466.88287,-1.4288957,347.76242,3.806535005569458,780.0,19.065032041072847
75,750000,5106.919744785793,-355.9081,86.11476,464.56586,-3.5439389,349.76086,5.043001890182495,1000.0,19.372870635986327
76,760000,4718.720986304374,-374.6385,99.64534,464.92032,-8.531031,369.84494,4.585322380065918,924.9,19.67586894830068
77,770000,5173.945275197182,-361.24072,102.81624,467.00037,-4.337107,355.5055,4.873763799667358,1000.0,19.979132580757142
78,780000,5254.977910892585,-374.5415,113.507614,469.06674,6.34586,368.2521,5.043961048126221,1000.0,20.285346035162608
79,790000,5274.214661811559,-381.04092,118.45346,471.0601,-4.3555365,374.65204,5.092675447463989,1000.0,20.59845187664032
80,800000,4997.877762734957,-361.2822,95.130646,470.34555,-3.2441125,354.78708,4.758094072341919,978.2,20.90636718273163
81,810000,4795.578560527452,-376.4574,104.3104,470.96317,7.627152,371.9796,4.65416955947876,927.7,21.20502192179362
82,820000,5219.190121820009,-369.77795,76.086006,470.92957,2.6735647,363.72226,4.884876489639282,1000.0,21.507918242613474
83,830000,5095.196750024863,-378.9435,101.07436,472.95483,-6.0102267,373.43585,4.907591342926025,1000.0,21.809564487139383
84,840000,4717.0548609981115,-379.87152,86.77073,474.24814,1.9370606,375.39386,4.553670883178711,922.8,22.105956240495047
85,850000,4980.522863432916,-386.1252,63.45304,473.52615,-2.135879,381.48782,4.777017831802368,962.2,22.40407787958781
86,860000,5056.882388733643,-389.5514,85.87646,474.0318,1.2390937,385.22357,4.941706657409668,1000.0,22.708473698298135
87,870000,5138.201656254365,-381.3411,76.191895,476.0715,1.7542713,376.12988,4.882262706756592,1000.0,23.017058090368906
88,880000,5264.444914377637,-393.87628,125.17418,477.6306,2.7217574,389.0044,4.986196994781494,1000.0,23.32148273785909
89,890000,5144.30732557269,-388.4211,84.16101,476.18213,-9.339986,384.08795,4.780633211135864,1000.0,23.621126612027485
90,900000,4816.9257622080895,-393.29694,85.63934,477.81558,2.7672174,389.37924,4.5362935066223145,915.7,23.91869971752167
91,910000,5159.06877966342,-396.5,78.467834,478.87503,-9.924278,391.52695,5.0174946784973145,1000.0,24.22234946489334
92,920000,5240.254659535594,-395.05988,57.976208,480.10532,4.859442,390.5128,4.885623931884766,1000.0,24.5244304617246
93,930000,5301.162913809597,-404.7135,95.1252,476.91595,13.728117,398.86426,5.02132511138916,1000.0,24.828614846865335
94,940000,5221.944753855077,-395.2539,97.90408,479.06863,4.752316,391.29395,4.926831007003784,1000.0,25.12729105949402
95,950000,5243.679597322913,-403.211,53.564835,479.46915,1.1334509,399.19543,4.852102518081665,1000.0,25.42786000967026
96,955000,5124.671077073477,-382.34927,87.86922,480.7909,3.4202595,378.13348,4.8264319896698,1000.0,25.61854106982549
97,960000,5264.231246002056,-387.32288,92.89457,481.29437,8.870216,381.4366,4.87898588180542,1000.0,25.810237153371176
98,965000,5191.445334908886,-389.2751,83.65562,481.66306,-8.227532,384.4583,5.1841185092926025,1000.0,26.006795954704284
99,970000,5226.828921961418,-393.18423,99.1634,481.8974,-13.445576,389.15384,5.215709209442139,1000.0,26.20489709377289
100,975000,5204.181746907037,-408.40875,87.33209,482.6265,-1.460202,404.61612,4.822003602981567,1000.0,26.39611390431722
101,980000,5219.412906320034,-401.87778,83.280075,482.99326,8.154456,396.7595,4.91642689704895,1000.0,26.58820128440857
102,985000,5274.211341221757,-400.14764,87.829575,483.0663,10.7943,394.34772,4.854680776596069,1000.0,26.77916698853175
103,990000,5159.499634907532,-396.9179,80.67746,482.02228,-13.604966,391.43176,4.7572877407073975,1000.0,26.96796254316966
104,995000,5278.694968593122,-405.19556,92.12234,482.04868,1.2816328,400.83463,4.758681774139404,1000.0,27.154455626010893
105,1000000,5249.1588377243,-395.42657,76.62125,485.3451,8.613757,390.71265,4.728938817977905,1000.0,27.34001967906952
